Order,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
340,Anderson .Paak,"3,69,41,45,511","60,67,12,238",152,0,5,31.07.22
341,The Strokes,"3,68,85,60,624","1,69,08,72,391",82,0,6,07.08.22
342,Don Toliver,"3,68,61,51,351","37,62,124",66,1,5,05.09.22
343,Conan Gray,"3,68,41,67,999","1,42,79,14,798",35,0,10,15.09.22
344,Dan + Shay,"3,68,06,53,230","23,14,88,539",73,0,9,03.08.22
345,Rex Orange County,"3,67,88,46,424","13,88,10,390",58,0,8,11.09.22
346,Jeremih,"3,67,47,42,679","54,33,26,342",140,0,8,24.08.22
347,benny blanco,"3,66,14,50,439","2,88,71,25,495",23,1,7,04.09.22
348,Cartel De Santa,"3,65,55,52,123","2,42,81,620",136,0,10,10.09.22
349,Avenged Sevenfold,"3,63,46,93,374","1,80,85,85,763",163,0,9,31.07.22
350,Ricardo Arjona,"3,62,92,70,035",0,341,0,3,31.07.22
351,Céline Dion,"3,62,69,54,646","95,28,17,602",492,0,9,20.09.22
352,Ninho,"3,61,46,58,124","31,39,02,252",146,0,4,31.07.22
353,Måneskin,"3,60,39,94,073","1,36,02,59,448",33,1,7,19.09.22
354,Alejandro Sanz,"3,59,22,90,895",0,380,0,6,31.07.22
355,Lin-Manuel Miranda,"3,59,21,35,787","3,78,905",95,0,14,31.07.22
356,Ricky Martin,"3,56,81,96,300","2,47,87,42,591",278,0,8,15.09.22
357,Jessie J,"3,56,34,53,628",0,117,1,7,13.09.22
358,Lost Frequencies,"3,55,64,01,142","13,76,41,031",421,0,10,31.07.22
359,Danny Ocean,"3,54,15,87,214","93,94,97,796",61,1,8,10.09.22
360,Maiara & Maraisa,"3,53,19,76,169","44,23,329",156,0,12,10.08.22
361,Steve Aoki,"3,52,73,93,369","13,43,266",437,0,6,31.07.22
362,Lil Mosey,"3,51,75,85,999","46,33,13,203",50,1,5,31.07.22
363,Marc Anthony,"3,50,48,19,748","1,42,22,939",197,0,8,08.09.22
364,H.E.R.,"3,47,63,14,834","3,11,89,21,754",102,0,8,31.07.22
365,Nelly,"3,46,49,96,085","6,28,04,762",211,0,9,15.09.22
366,Charli XCX,"3,46,43,11,470",0,219,0,8,17.09.22
367,Pablo Alborán,"3,43,78,09,914","4,73,13,864",173,0,8,16.09.22
368,2 Chainz,"3,42,97,09,034","5,08,18,36,495",409,0,7,31.07.22
369,Train,"3,42,37,89,545",0,185,1,8,31.07.22
370,Passenger,"3,41,50,74,486","18,42,40,949",233,1,2,31.07.22
371,Lukas Graham,"3,41,07,90,500","3,92,42,85,642",66,1,4,31.07.22
372,Mark Ronson,"3,40,05,85,305","9,88,04,484",151,1,4,31.07.22
373,CNCO,"3,39,95,84,158","10,21,39,066",89,0,7,19.09.22
374,Foster The People,"3,39,33,89,914","2,55,67,335",96,1,7,31.07.22
375,Calum Scott,"3,39,22,00,109",0,84,0,6,31.07.22
376,Dire Straits,"3,39,04,27,781","8,57,29,842",107,0,5,19.09.22
377,Alec Benjamin,"3,38,95,30,976","2,24,51,44,528",46,1,8,26.08.22
378,Daniel Caesar,"3,38,72,18,135","3,00,93,54,038",37,0,8,31.07.22
379,Bee Gees,"3,38,31,27,730","2,97,97,048",470,0,6,27.08.22
380,Tate McRae,"3,37,16,16,079","2,02,89,69,469",53,0,8,10.09.22
381,Bryan Adams,"3,36,58,87,458","73,92,86,985",394,0,8,10.09.22
382,Summer Walker,"3,36,31,93,393","51,71,35,427",91,0,9,11.09.22
383,Trey Songz,"3,35,70,05,694","1,29,58,54,047",268,0,7,16.09.22
384,Bob Dylan,"3,35,29,60,099","49,82,04,068","1,308",0,6,13.09.22
385,Grupo Firme,"3,34,84,34,531","50,39,68,381",205,0,8,31.07.22
386,Armin van Buuren,"3,34,04,63,682","67,38,00,705","2,051",0,4,21.08.22
387,Rels B,"3,32,77,75,726","1,88,41,83,028",107,0,5,31.07.22
388,Boyce Avenue,"3,28,75,10,482","6,19,28,58,304",450,0,3,20.09.22
389,Pentatonix,"3,28,57,41,959","42,65,483",201,0,2,12.09.22
390,Ski Mask The Slump God,"3,27,60,18,075","30,28,58,918",73,0,7,19.09.22
391,R3HAB,"3,27,48,14,964","54,08,70,550",336,0,4,31.07.22
392,LANY,"3,27,03,35,409","2,14,13,23,366",86,0,8,17.08.22
393,Tainy,"3,25,53,57,184","5,36,05,62,962",44,1,5,06.09.22
394,PARTYNEXTDOOR,"3,24,30,38,851",0,80,0,9,31.07.22
395,La Arrolladora Banda El Limón De Rene Camacho,"3,23,69,20,653",0,332,0,5,21.08.22
396,James Blunt,"3,22,69,77,012","23,10,77,825",172,0,6,31.07.22
397,The Police,"3,22,29,74,290","35,22,47,735",122,1,7,16.09.22
398,Cage The Elephant,"3,21,97,94,411","30,13,58,086",109,0,6,14.08.22
399,Fetty Wap,"3,21,73,62,515","1,09,72,79,258",138,0,7,06.08.22
400,Jeremy Zucker,"3,21,55,07,829","16,37,40,766",96,0,8,31.07.22
401,Dean Lewis,"3,21,25,55,492","6,37,57,921",48,1,6,31.07.22
402,John Williams,"3,21,11,35,011","24,75,74,441","2,410",0,2,31.07.22
403,Bibi Blocksberg,"3,20,75,03,226","4,33,71,022","5,203",0,0,08.07.22
404,Artist,Lead Streams,Feats,Tracks,1b,100m,Update
405,Outkast,"3,19,60,44,035","11,98,32,137",222,0,6,31.07.22
406,Becky Hill,"3,19,46,44,880","39,65,87,742",195,0,10,16.09.22
407,Sam Hunt,"3,18,98,88,914","2,40,31,69,234",61,0,8,31.07.22
408,Sigala,"3,18,29,31,037","7,70,42,747",118,0,9,31.07.22
409,Carlos Vives,"3,18,18,77,775","1,95,78,56,299",276,0,6,31.07.22
410,Jhené Aiko,"3,17,86,45,401","52,13,01,528",114,0,7,19.09.22
411,Rudimental,"3,16,04,82,589","9,97,641",208,0,6,31.07.22
412,ScHoolboy Q,"3,14,74,81,533","1,65,61,64,329",89,0,8,31.07.22
413,Marvin Gaye,"3,14,38,36,699","70,94,21,106",750,0,7,31.07.22
414,Offset,"3,14,15,68,579","15,60,55,221",53,1,7,15.09.22
415,Stray Kids,"3,12,02,44,998","54,40,47,899",169,0,5,19.09.22
416,Sam Feldt,"3,10,76,99,941","17,40,98,397",173,0,6,31.07.22
417,Iron Maiden,"3,10,35,89,124","52,32,238",426,0,7,19.09.22
418,Zac Brown Band,"3,10,05,96,570","3,94,96,270",141,0,7,31.07.22
419,Jax Jones,"3,08,07,00,501","64,02,079",89,0,12,31.07.22
420,ILLENIUM,"3,07,64,54,009","4,90,58,65,217",218,0,4,31.07.22
421,Joan Sebastian,"3,06,36,49,523","3,96,60,958",506,0,8,31.07.22
422,Hillsong Worship,"3,06,23,86,056","69,95,74,957",847,0,4,31.07.22
423,Kali Uchis,"3,05,55,43,671","87,36,35,526",67,0,4,20.09.22
424,Skillet,"3,05,09,96,601","13,35,247",195,0,7,01.09.22
425,Juanes,"3,04,67,14,537",0,201,0,8,31.07.22
426,Blake Shelton,"3,04,43,73,576","1,87,47,880",203,0,9,07.09.22
427,alt-J,"3,02,51,45,409","1,46,654",145,0,8,31.07.22
428,Chris Stapleton,"3,02,47,91,697","1,11,73,26,282",60,0,9,01.08.22
429,Lil Yachty,"3,02,30,49,234",0,190,0,6,31.07.22
430,Quavo,"3,02,21,33,428","6,25,40,256",85,0,8,14.09.22
431,Los Ángeles Azules,"3,02,09,57,267","87,63,55,276",303,0,6,15.08.22
432,NLE Choppa,"3,01,86,74,271","1,134",125,0,5,25.08.22
433,Feid,"3,00,94,97,561","43,61,78,161",146,0,5,16.09.22
434,Journey,"3,00,83,91,718","3,85,39,99,824",278,1,5,17.09.22
435,The Vamps,"3,00,61,39,960","19,45,35,961",148,0,8,31.07.22
436,BROCKHAMPTON,"3,00,21,68,774",0,113,0,5,31.07.22
437,Soda Stereo,"3,00,02,30,369","4,31,04,89,285",198,0,5,18.09.22
438,The Black Keys,"2,99,57,26,401","1,03,63,88,958",199,0,5,03.09.22
439,Liam Payne,"2,99,06,01,102","93,77,57,024",51,0,8,19.09.22
440,Mike Posner,"2,98,70,16,135","5,69,26,66,319",183,1,4,26.08.22
441,Weezer,"2,97,09,62,554","60,67,12,238",271,0,4,24.08.22
442,Korn,"2,96,88,39,699","1,69,08,72,391",293,0,5,05.09.22
443,El Alfa,"2,96,60,87,446","37,62,124",193,0,9,16.09.22
444,Tim McGraw,"2,96,49,65,833","1,42,79,14,798",318,0,7,11.08.22
445,Madison Beer,"2,95,81,96,752","23,14,88,539",54,0,11,19.09.22
446,Imanbek,"2,95,71,90,912","13,88,10,390",65,1,5,08.09.22
447,Rise Against,"2,95,50,84,542","54,33,26,342",185,0,5,04.09.22
448,The Doors,"2,95,35,74,273","2,88,71,25,495",724,0,7,11.09.22
449,Maren Morris,"2,94,08,19,852","2,42,81,620",68,1,6,31.07.22
450,Mau y Ricky,"2,93,69,36,952","1,80,85,85,763",66,0,6,31.07.22
451,Bon Iver,"2,92,82,47,210",0,50,0,7,31.07.22
452,RAF Camora,"2,92,66,53,996","95,28,17,602",369,0,5,31.07.22
453,Lunay,"2,92,51,62,457","31,39,02,252",59,0,9,18.08.22
454,Maria Becerra,"2,92,12,91,638","1,36,02,59,448",43,0,6,20.09.22
455,Carly Rae Jepsen,"2,92,10,86,654",0,141,0,5,19.09.22
456,Why Don't We,"2,91,76,38,636","3,78,905",99,0,8,19.08.22
457,Vicente Fernández,"2,91,05,74,978","2,47,87,42,591",865,0,4,31.07.22
458,A$AP Ferg,"2,90,34,70,782",0,96,0,6,11.09.22
459,Juan Gabriel,"2,90,18,46,633","13,76,41,031",482,0,5,31.07.22
460,JP Cooper,"2,89,52,91,874","93,94,97,796",144,0,4,31.07.22
461,PNL,"2,88,96,60,746","44,23,329",72,0,5,15.09.22
462,The Cure,"2,88,28,31,026","13,43,266",545,0,6,14.08.22
463,Mabel,"2,87,41,50,906","46,33,13,203",145,0,7,30.08.22
464,Birdy,"2,86,45,53,572","1,42,22,939",111,0,8,15.09.22
465,Papa Roach,"2,86,12,96,786","3,11,89,21,754",236,0,4,31.07.22
466,MARINA,"2,86,03,14,714","6,28,04,762",121,0,7,19.09.22
467,Jesse & Joy,"2,85,62,85,668",0,124,0,11,20.09.22
468,T.I.,"2,84,80,98,002","4,73,13,864",440,0,6,19.09.22
469,SAINt JHN,"2,84,16,51,735","5,08,18,36,495",55,1,3,31.07.22
470,Bradley Cooper,"2,83,25,55,130",0,12,1,4,18.09.22
471,Bonez MC,"2,81,51,82,209","18,42,40,949",166,0,5,31.07.22
472,Noah Cyrus,"2,81,33,40,209","3,92,42,85,642",74,0,6,19.09.22
473,C. Tangana,"2,80,84,96,289","9,88,04,484",81,0,9,18.09.22
474,MEDUZA,"2,80,64,88,850","10,21,39,066",55,0,5,31.07.22
475,Ludovico Einaudi,"2,79,13,67,383","2,55,67,335",565,0,5,31.07.22
476,Depeche Mode,"2,78,41,28,682",0,709,0,3,08.09.22
477,Destiny's Child,"2,77,51,87,867","8,57,29,842",183,0,8,17.09.22
478,Kenny Chesney,"2,77,28,27,226","2,24,51,44,528",277,0,3,10.08.22
479,Paul McCartney,"2,76,72,37,931","3,00,93,54,038",918,0,5,14.09.22
480,Eric Church,"2,75,93,12,007","2,97,97,048",286,0,4,31.07.22
481,Dave,"2,74,94,90,108","2,02,89,69,469",62,0,8,08.09.22
482,Eric Clapton,"2,74,73,10,452","73,92,86,985",698,0,6,15.09.22
483,KHEA,"2,74,30,45,197","51,71,35,427",81,0,9,18.09.22
484,EXO,"2,72,59,69,831","1,29,58,54,047",309,0,6,19.09.22
485,Simon & Garfunkel,"2,71,81,78,664","49,82,04,068",172,0,5,19.09.22
486,TINI,"2,71,73,01,467","50,39,68,381",71,0,8,19.09.22
487,Norah Jones,"2,71,47,88,741","67,38,00,705",297,0,4,11.08.22
488,Iggy Azalea,"2,70,39,50,724","1,88,41,83,028",108,0,6,08.09.22
489,George Michael,"2,70,31,00,036","6,19,28,58,304",185,0,4,19.09.22
490,Jay Wheeler,"2,70,14,43,856","42,65,483",146,0,3,06.09.22
491,De La Ghetto,"2,69,53,70,320","30,28,58,918",158,0,7,31.07.22
492,Nacho,"2,69,21,39,444","54,08,70,550",151,0,8,26.08.22
493,bbno$,"2,69,13,89,490","2,14,13,23,366",149,0,3,18.09.22
494,The Beach Boys,"2,68,73,73,992","5,36,05,62,962","1,528",0,7,08.08.22
495,The Game,"2,68,68,73,055",0,770,0,6,17.08.22
496,Bibi und Tina,"2,68,06,06,898",0,"3,509",0,0,30.06.22
497,Ufo361,"2,67,66,67,284","23,10,77,825",236,0,0,08.09.22
498,R.E.M.,"2,66,56,30,567","35,22,47,735",590,0,5,08.09.22
499,Aminé,"2,66,12,88,241","30,13,58,086",72,0,4,06.08.22
500,Normani,"2,65,84,70,073","1,09,72,79,258",17,1,4,12.09.22
501,AJR,"2,64,94,03,045","16,37,40,766",86,0,5,18.08.22
502,Christina Perri,"2,64,65,73,107","6,37,57,921",103,1,3,13.08.22
503,X Ambassadors,"2,62,16,85,116","24,75,74,441",119,0,4,25.08.22
504,Breaking Benjamin,"2,61,96,25,553","4,33,71,022",102,0,6,31.07.22
505,Artist,Lead Streams,Feats,Tracks,1b,100m,Update
506,"Earth, Wind & Fire","2,60,69,39,541","9,39,44,725",385,1,5,18.08.22
507,Hillsong UNITED,"2,59,98,12,772","14,14,13,805",366,0,2,01.08.22
508,Rod Wave,"2,59,81,43,018","7,21,80,826",136,0,3,08.09.22
509,Nick Jonas,"2,58,89,51,174","5,60,96,500",95,0,8,20.09.22
510,Rich The Kid,"2,58,75,83,439","1,86,04,30,328",166,0,4,29.08.22
511,Jimi Hendrix,"2,58,50,36,209","10,41,574",506,0,5,19.09.22
512,The Smiths,"2,58,27,82,853",0,143,0,6,13.09.22
513,Dermot Kennedy,"2,58,14,22,010",0,78,0,5,31.07.22
514,SEVENTEEN,"2,58,08,17,471",0,150,0,1,19.09.22
515,Milky Chance,"2,58,07,09,652","84,00,414",88,1,4,31.07.22
516,Volbeat,"2,57,94,98,906",0,205,0,5,31.07.22
517,TOTO,"2,57,58,74,146","30,27,807",391,1,4,08.08.22
518,Dimitri Vegas & Like Mike,"2,57,23,06,129","10,28,71,980",267,0,4,31.07.22
519,Sabrina Carpenter,"2,56,95,19,803","14,89,23,932",99,0,6,16.09.22
520,Robbie Williams,"2,55,71,79,105","2,24,18,993",429,0,6,17.09.22
521,Matoma,"2,55,54,08,299","30,03,74,829",126,0,5,31.07.22
522,Years & Years,"2,55,08,29,792","9,05,24,082",112,0,7,31.07.22
523,Mitski,"2,54,72,59,202","2,31,37,320",73,0,6,19.09.22
524,Jon Bellion,"2,54,32,85,648","34,43,51,614",84,0,5,31.07.22
525,The xx,"2,54,27,77,584","1,04,68,775",77,0,5,31.07.22
526,Van Morrison,"2,54,22,34,398","9,55,29,950",864,0,4,13.09.22
527,Nelly Furtado,"2,53,42,35,066","28,73,64,576",211,0,6,15.09.22
528,Luciano,"2,52,62,45,631","44,03,87,420",157,0,0,20.09.22
529,B.o.B,"2,52,50,38,408","1,27,45,78,007",431,0,7,31.07.22
530,T-Pain,"2,52,28,86,931","3,09,57,32,093",215,0,8,31.07.22
531,Lynyrd Skynyrd,"2,51,91,69,676","5,99,968",362,0,4,07.09.22
532,Stormzy,"2,50,04,82,085","99,75,92,500",69,0,7,21.08.22
533,Sfera Ebbasta,"2,49,60,62,465","1,27,60,58,719",89,0,1,27.08.22
534,Rick Ross,"2,49,11,75,711","4,97,02,43,020",340,0,4,31.07.22
535,Cali Y El Dandee,"2,49,05,92,473","21,40,13,480",74,0,9,31.07.22
536,Kid Ink,"2,48,91,30,300","2,81,62,80,604",198,0,8,31.07.22
537,Shinedown,"2,47,95,35,960","1,37,18,335",197,0,6,04.09.22
538,Natanael Cano,"2,47,54,63,509","22,51,14,570",135,0,6,12.09.22
539,Van Halen,"2,46,69,95,848","24,281",207,0,6,19.09.22
540,Limp Bizkit,"2,46,64,19,030","32,18,081",134,0,6,01.08.22
541,The Fray,"2,46,34,36,621","44,86,342",98,0,5,31.07.22
542,Samra,"2,46,13,80,410","40,35,00,820",120,0,3,19.09.22
543,The Cranberries,"2,46,08,68,337","27,25,658",264,0,4,27.08.22
544,Black Sabbath,"2,45,96,11,513","1,39,68,959",286,0,4,07.09.22
545,All Time Low,"2,45,93,97,211","15,85,127",212,0,2,31.07.22
546,DNCE,"2,45,87,58,461","5,48,41,242",36,1,4,31.07.22
547,El Fantasma,"2,45,78,87,099","6,52,81,602",210,0,6,21.08.22
548,Damso,"2,44,86,21,601","76,15,48,765",95,0,1,15.09.22
549,Andy Grammer,"2,43,16,29,519","49,62,513",79,0,5,31.07.22
550,Rage Against The Machine,"2,43,08,39,934",0,119,0,7,14.08.22
551,Luan Santana,"2,43,00,00,476","24,79,64,502",214,0,4,19.09.22
552,Aitana,"2,42,88,20,555","1,98,83,705",74,0,7,19.09.22
553,Juan Magán,"2,42,80,32,283","87,12,30,826",208,0,5,31.07.22
554,KYLE,"2,42,04,85,330","16,64,64,714",112,0,5,31.07.22
555,Keith Urban,"2,41,64,63,388","38,04,61,137",205,0,6,21.08.22
556,Joel Corry,"2,41,57,59,211","6,32,58,648",153,0,5,31.07.22
557,Daryl Hall & John Oates,"2,40,57,98,697","33,973",555,0,6,31.07.22
558,Sabaton,"2,39,96,79,054",0,313,0,2,15.09.22
559,MGMT,"2,39,66,10,713","1,03,84,72,738",86,0,5,31.07.22
560,Kodaline,"2,38,62,58,538","28,34,21,137",125,0,4,05.09.22
561,Aya Nakamura,"2,38,61,08,307","15,16,18,177",68,0,5,19.09.22
562,Plan B,"2,38,38,28,013","57,82,40,022",95,0,7,31.07.22
563,Rag'n'Bone Man,"2,38,20,13,837","7,90,32,903",138,0,3,31.07.22
564,Shaggy,"2,38,19,98,464","47,77,05,428",433,0,5,31.07.22
565,Of Monsters and Men,"2,38,02,80,721","33,18,019",63,0,5,13.09.22
566,Rod Stewart,"2,37,95,41,913","50,20,97,842",731,0,4,09.08.22
567,The White Stripes,"2,37,76,86,382",0,172,1,3,11.08.22
568,Hollywood Undead,"2,37,35,38,882","2,10,78,180",143,0,3,01.08.22
569,Mac DeMarco,"2,36,68,44,862","7,57,12,651",150,0,4,18.09.22
570,Gerardo Ortiz,"2,36,23,66,616","56,41,61,466",257,0,3,31.07.22
571,A Day To Remember,"2,35,77,11,163",0,135,0,4,31.07.22
572,Quinn XCII,"2,35,05,78,227","15,52,01,156",85,0,5,31.07.22
573,Ice Cube,"2,34,49,00,860","28,74,02,247",292,0,5,31.07.22
574,Clairo,"2,34,09,31,623","75,12,81,514",25,0,7,31.07.22
575,Swedish House Mafia,"2,34,07,27,040","1,28,20,948",58,0,6,31.07.22
576,League of Legends,"2,34,00,11,159","1,93,48,25,362",495,0,6,18.09.22
577,Eladio Carrion,"2,33,90,40,331","40,40,20,084",147,0,4,13.09.22
578,Lofi Fruits Music,"2,32,99,99,921","10,60,66,268","1,010",0,0,31.07.22
579,Prince,"2,32,79,65,052","32,81,243",835,0,5,24.08.22
580,Os Barões Da Pisadinha,"2,32,59,67,532","57,19,67,470",160,0,6,31.07.22
581,Brytiago,"2,32,57,68,055","2,04,68,57,334",85,0,5,08.09.22
582,Casper Magico,"2,32,46,73,947","19,44,00,208",95,0,5,31.07.22
583,José José,"2,32,35,17,374","14,90,57,243",525,0,2,31.07.22
584,Evanescence,"2,32,00,82,358",0,110,0,4,12.09.22
585,Sublime,"2,31,78,31,260",0,219,0,5,31.07.22
586,Die drei !!!,"2,31,70,17,983",0,"3,275",0,0,31.07.22
587,Tom Odell,"2,31,32,90,532","4,39,63,745",131,1,3,10.09.22
588,GIMS,"2,31,10,19,564","29,46,23,436",179,0,4,31.07.22
589,Chencho Corleone,"2,30,76,20,270","1,85,07,68,207",21,0,6,11.09.22
590,Cigarettes After Sex,"2,29,70,49,191",0,30,0,6,30.08.22
591,Bryant Myers,"2,29,69,87,693","2,21,17,93,211",102,0,5,31.07.22
592,Axwell /\ Ingrosso,"2,29,56,22,491",0,47,1,5,31.07.22
593,Red Velvet,"2,29,39,93,571","1,49,95,635",131,0,5,19.09.22
594,George Strait,"2,29,33,05,564","3,61,61,867",444,0,2,31.07.22
595,Carlos Rivera,"2,29,11,58,958","50,76,36,763",210,0,5,31.07.22
596,Carrie Underwood,"2,28,76,77,862","39,07,96,945",170,0,3,18.09.22
597,Enya,"2,28,12,84,138","34,29,37,830",145,0,4,10.08.22
598,Pedro Capó,"2,27,71,24,460","18,14,75,492",71,1,5,31.07.22
599,girl in red,"2,26,44,64,619","60,43,639",29,0,6,15.09.22
600,Aretha Franklin,"2,25,93,73,196","89,60,966",900,0,4,31.07.22
601,Ozzy Osbourne,"2,25,85,51,820","6,68,42,960",231,0,3,19.09.22
602,Scorpions,"2,25,74,65,297",0,345,0,5,05.09.22
603,Nas,"2,25,50,35,088","89,03,52,457",339,0,4,04.09.22
604,ODESZA,"2,25,11,41,203","12,81,74,755",170,0,4,31.07.22
605,Joyner Lucas,"2,25,07,54,960","14,60,02,559",87,0,6,11.09.22
606,Artist,Lead Streams,Feats,Tracks,1b,100m,Update
607,Ali Gatie,"2,23,67,69,112","22,70,763",54,0,4,19.08.22
608,Mustard,"2,23,45,05,311","1,98,65,62,902",74,0,4,31.07.22
609,PnB Rock,"2,22,89,93,718","1,85,99,97,166",116,0,5,12.09.22
610,Zoé,"2,22,71,59,139","1,21,25,790",193,0,6,31.07.22
611,Goodboys,"2,22,50,51,739","51,53,122",44,0,4,31.07.22
612,KISS,"2,22,25,50,482",0,510,0,4,17.08.22
613,WALK THE MOON,"2,21,32,55,179","10,38,49,073",98,1,3,31.07.22
614,Danna Paola,"2,21,21,42,768","7,27,25,046",103,0,6,19.09.22
615,Don Diablo,"2,20,06,28,570","10,55,84,811",248,0,1,31.07.22
616,Jorja Smith,"2,19,51,60,357","46,56,01,602",81,0,4,31.07.22
617,Los Tigres Del Norte,"2,19,50,87,945","18,23,74,635",639,0,1,31.07.22
618,Gryffin,"2,19,35,09,712","48,28,69,625",146,0,6,31.07.22
619,RAYE,"2,19,29,39,509","57,53,19,981",95,0,4,31.07.22
620,Junior H,"2,19,03,09,741","30,08,89,299",104,0,5,12.09.22
621,The Smashing Pumpkins,"2,17,29,54,938",0,418,0,6,19.09.22
622,Sum 41,"2,17,20,99,956","74,14,337",128,0,5,31.07.22
623,Alan Jackson,"2,16,83,05,190","9,00,85,724",269,0,2,11.08.22
624,Marco Antonio Solís,"2,16,70,56,600","68,65,49,494",201,0,5,31.07.22
625,WILLOW,"2,16,20,26,224","40,54,12,770",76,0,3,16.09.22
626,Ella Mai,"2,16,13,92,693","33,49,57,558",52,0,6,11.09.22
627,Marilyn Manson,"2,15,66,99,936","5,69,80,790",227,0,4,31.07.22
628,Joey Bada$$,"2,14,91,10,284","76,79,49,252",119,0,4,11.09.22
629,Lord Huron,"2,14,71,42,104",0,76,1,3,31.07.22
630,Sleeping At Last,"2,14,64,20,809","7,27,285",298,0,5,01.08.22
631,Astrid S,"2,14,50,22,194","13,10,55,141",107,0,5,04.09.22
632,TKKG,"2,14,13,87,313",0,"4,398",0,0,31.07.22
633,Sido,"2,14,10,06,547","52,25,02,437",368,0,2,31.07.22
634,TOMORROW X TOGETHER,"2,13,63,82,863",0,69,0,6,10.09.22
635,Colbie Caillat,"2,13,37,75,510","12,66,24,751",105,0,4,15.09.22
636,Banda El Recodo,"2,12,70,16,589","22,32,807",601,0,3,01.08.22
637,Rascal Flatts,"2,12,44,00,562","5,34,41,983",248,0,5,31.07.22
638,Dolly Parton,"2,12,25,03,850","17,36,26,251",978,0,4,09.08.22
639,3 Doors Down,"2,12,23,58,023","6,31,510",144,0,3,31.07.22
640,Wale,"2,11,73,59,552","1,52,02,75,780",353,0,4,07.09.22
641,Moneybagg Yo,"2,11,73,49,736","1,31,31,68,750",266,0,1,31.07.22
642,Electric Light Orchestra,"2,11,28,72,480","6,96,381",305,0,4,31.07.22
643,Two Door Cinema Club,"2,11,23,07,879","19,80,119",142,0,4,12.08.22
644,Hardwell,"2,10,99,14,592","36,09,47,672",462,0,1,31.07.22
645,Brent Faiyaz,"2,10,71,46,096","90,59,46,624",63,0,7,31.07.22
646,Chase Atlantic,"2,10,53,75,619","1,17,62,990",75,0,4,31.07.22
647,Kontra K,"2,10,33,18,066","21,99,24,638",301,0,1,31.07.22
648,iann dior,"2,10,29,22,842","2,29,13,68,890",55,0,5,31.07.22
649,Powfu,"2,09,23,77,791","18,65,20,817",73,1,1,31.07.22
650,Bethel Music,"2,09,20,86,801",0,312,0,0,31.07.22
651,JID,"2,08,96,52,973","79,79,04,614",70,0,4,07.09.22
652,Louis Tomlinson,"2,08,69,72,274",0,43,0,4,16.09.22
653,The Clash,"2,08,59,49,767",0,223,0,3,08.09.22
654,Noriel,"2,08,38,87,397","1,46,92,83,474",94,0,4,31.07.22
655,gnash,"2,08,36,38,974","30,30,83,754",84,1,2,31.07.22
656,MC Kevinho,"2,08,20,54,602","29,68,44,156",74,0,5,31.07.22
657,David Bisbal,"2,07,88,20,031","43,29,72,620",248,0,4,03.08.22
658,Pharrell Williams,"2,07,70,74,226","6,53,75,61,403",110,1,3,31.07.22
659,Gera MX,"2,07,13,89,389","52,71,68,213",184,0,1,28.08.22
660,Kacey Musgraves,"2,07,01,85,118","15,08,66,265",126,0,5,19.09.22
661,Luísa Sonza,"2,06,83,49,876","94,01,615",66,0,5,19.09.22
662,Leon Bridges,"2,06,47,76,224","80,99,60,704",78,0,5,31.07.22
663,Chief Keef,"2,06,42,87,110","62,50,82,456",575,0,5,18.09.22
664,Martin Jensen,"2,06,30,60,185","30,48,61,454",79,0,4,31.07.22
665,Stromae,"2,06,24,04,120","6,05,45,155",57,0,4,12.08.22
666,Annie Lennox,"2,06,23,40,171","97,54,428",306,0,3,02.09.22
667,Ruth B.,"2,05,79,84,888",0,48,0,5,31.07.22
668,NEFFEX,"2,05,65,83,318","8,24,121",213,0,3,31.07.22
669,Duran Duran,"2,05,29,57,469",0,483,0,5,09.08.22
670,Jaden,"2,05,04,32,169","1,46,08,30,445",110,0,2,31.07.22
671,Bing Crosby,"2,04,39,24,592","84,62,632","1,345",0,7,31.07.22
672,Seeb,"2,04,34,77,578","1,67,37,15,968",112,0,5,31.07.22
673,Ms. Lauryn Hill,"2,04,06,46,969","35,35,28,858",89,0,5,11.08.22
674,Arizona Zervas,"2,03,96,90,926","3,56,97,483",37,1,2,31.07.22
675,Santa Fe Klan,"2,03,91,38,179","54,14,93,142",217,0,5,18.08.22
676,Miracle Tones,"2,03,10,04,961",0,126,0,0,31.07.22
677,Regard,"2,02,91,33,220",0,42,1,4,31.07.22
678,Westlife,"2,02,60,58,221","39,635",231,0,3,09.09.22
679,The Kooks,"2,02,42,54,904",0,249,0,5,11.09.22
680,Mike WiLL Made-It,"2,02,14,77,415","34,54,22,787",144,0,6,15.08.22
681,Elevation Worship,"2,01,95,84,095","2,20,54,975",255,0,2,31.07.22
682,Internet Money,"2,01,85,84,676","37,26,81,646",43,1,5,31.07.22
683,M83,"2,01,51,40,978","1,62,90,793",237,0,3,31.07.22
684,Portugal. The Man,"2,00,31,83,409","5,07,54,902",195,1,1,31.07.22
685,R. Kelly,"2,00,20,13,664","40,93,79,157",363,0,2,31.07.22
686,Saweetie,"2,00,00,89,741","59,57,52,335",73,0,4,01.09.22
687,Dilsinho,"1,99,64,37,258","41,17,83,927",195,0,5,12.09.22
688,Charlie Brown Jr.,"1,99,55,56,424","3,90,48,849",278,0,4,17.08.22
689,Ha*Ash,"1,98,98,02,115","49,06,46,007",131,0,4,01.09.22
690,Gwen Stefani,"1,98,88,99,782","1,07,39,41,569",99,0,4,17.09.22
